id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,age
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,67
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,70
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,59
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,40
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,57
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,53
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,39
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,50
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,74
1994,1983,Graduation,Married,51381.5,1,0,2013-11-15,11,5,41
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,48
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,65
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,72
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,37
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,78
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,44
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,78
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,75
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,39
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,42
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,45
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,75
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,70
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,73
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,55
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,48
5255,1986,Graduation,Single,51381.5,1,0,2013-02-20,19,5,38
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,35
1966,1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,59
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,35
3033,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,61
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,54
7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,72
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,78
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,73
4339,1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,54
10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,48
8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,51
2968,1943,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,81
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,44
503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13,39
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,67
7281,1959,PhD,Single,51381.5,0,0,2013-11-05,80,81,65
2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3,49
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,48
9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,28
7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,56
7244,1951,Graduation,Single,51381.5,2,1,2014-01-01,96,48,73
6566,1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,70
8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,67
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,60
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,47
2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,47
9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,46
6260,1955,Master,Together,82384.0,0,0,2012-11-19,55,984,69
10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,58
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,36
8557,1982,Graduation,Single,51381.5,1,0,2013-06-17,57,11,42
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,56
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,42
3076,1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,49
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,72
6518,1951,PhD,Widow,67680.0,0,1,2013-06-11,8,546,73
4137,1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,76
8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,53
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,57
9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,45
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,66
1357,1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,54
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,70
